Subject,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,RMSE_normalized,MAE_normalized
Subject 1,0.8458112161607467,0.0,0.744253772920292,1.0384263924456549e-291,0.20717346630316288,0.1593561778584392
Subject 2,0.6940849451947482,6.321226824702805e-238,0.5930957273828081,1.2761791590825492e-157,0.19961710400795743,0.16551171320134062
Mean,0.7699480806777474,nan,0.6686747501515501,nan,0.20339528515556016,0.1624339455298899
