,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A53,0.584049,0.751161,0.849832,0.339394,0.712958,0.772271,0.853084,0.874658,0.717094,0.816347,0.817485,0.859752,0.902153,0.559630,0.768761,0.869368,0.833199,0.868154,0.809988,0.277195,0.463222,0.433417,0.433212,0.374190,0.000000,0.524374,0.370777,0.628229,0.782221,0.445329,0.497642,0.816692,0.606678,0.634208,0.702024,0.540512,0.611635,0.893127,0.885510,0.936655,0.847749,0.151631,0.390629,0.363384,0.392532,0.794535,0.472908,0.555999,0.677207,0.799040,0.818621,0.589767,0.846173,0.873764,0.769123,0.809872,0.734847,0.771296
A96,0.660258,0.782649,0.799344,0.878918,0.678423,0.567870,0.670178,0.782625,0.748757,0.613633,0.790920,0.703685,0.752846,0.775011,0.832140,0.888447,1.000000,0.918030,0.879614,0.381395,0.411989,0.204373,0.492429,0.445694,0.524374,0.000000,0.546391,0.696162,0.646442,0.719301,0.427802,0.498862,0.678951,0.596918,0.613225,0.422798,0.547993,1.000000,0.853541,0.951846,0.947492,0.480362,0.528995,0.465488,0.182756,0.472173,0.768865,0.716757,0.676885,0.671425,0.752344,0.745881,0.661702,0.692289,0.687584,0.490115,0.565866,0.664360
A22,0.440829,0.861516,0.896634,0.695880,0.540601,0.864368,0.788728,0.740554,0.842762,0.527040,0.684484,0.619658,0.741198,0.759428,0.625523,0.649678,0.843641,0.745639,0.944694,0.384536,0.547878,0.618083,0.396853,0.427746,0.370777,0.546391,0.000000,0.471906,0.466077,0.263365,0.226268,0.538248,0.246424,0.478894,0.577173,0.465877,0.621903,0.870364,0.918152,0.871952,0.753242,0.460151,0.469826,0.533472,0.559155,0.610909,0.855835,0.464920,0.923506,0.844003,0.795160,0.779208,0.602428,0.761281,0.721005,0.680251,0.363556,0.861528
A44,0.723907,0.334483,0.692430,0.677094,0.286655,0.639837,0.721104,0.630870,0.797716,0.886841,0.688465,0.590388,0.639755,0.548921,0.532359,0.648301,0.749233,0.706714,0.637403,0.574369,0.744689,0.669283,0.706789,0.667601,0.628229,0.696162,0.471906,0.000000,0.458454,0.246716,0.196353,0.524176,0.600104,0.628955,0.553131,0.287977,0.415958,0.507424,0.434961,0.690171,0.394619,0.452540,0.526872,0.530604,0.606849,0.533855,0.585551,0.754119,0.614443,0.352728,0.620073,0.412712,0.449410,0.635542,0.478285,0.375828,0.312107,0.297604
A46,0.754007,0.824784,0.806788,0.891163,0.966249,0.900721,0.876277,0.855694,0.790661,0.881748,0.844537,0.764959,0.902523,0.904096,0.805177,0.845626,0.710992,0.647128,0.467816,0.674004,0.409397,0.420584,0.578051,0.631845,0.782221,0.646442,0.466077,0.458454,0.000000,0.461566,0.311662,0.618726,0.483140,0.672423,0.610902,0.568800,0.681415,0.689241,0.772604,0.776193,0.860575,0.590833,0.465911,0.392762,0.467566,0.542086,0.444688,0.779759,0.678549,0.500231,0.820372,0.958887,0.689070,0.707870,0.694221,0.719289,0.574168,0.682796
A64,0.693072,0.601551,0.532546,0.572253,0.319377,0.761823,0.582222,0.410656,0.724411,0.773863,0.813903,0.572188,0.766093,0.774479,0.710698,0.740463,0.865395,0.833035,0.789525,0.580887,0.498794,0.526603,0.428827,0.537543,0.445329,0.719301,0.263365,0.246716,0.461566,0.000000,0.634006,0.684595,0.619689,0.636066,0.640310,0.427375,0.494396,0.650135,0.685628,0.850913,0.771333,0.488165,0.560810,0.569199,0.799193,0.552458,0.662074,0.722089,0.479765,0.639959,0.791013,0.478163,0.571645,0.588230,0.763345,0.398772,0.690339,0.776137
A99,0.782824,0.791389,0.820225,0.405687,0.357197,0.770376,0.630809,0.684617,0.728800,0.734384,0.643157,0.734652,0.524722,0.511743,0.830142,0.875997,0.949060,0.721968,0.819826,0.469833,0.731300,0.528620,0.585800,0.632302,0.497642,0.427802,0.226268,0.196353,0.311662,0.634006,0.000000,0.608294,0.336122,0.536070,0.661906,0.615368,0.571029,0.880380,0.699345,0.801372,0.669883,0.465506,0.483607,0.487429,0.504221,0.545698,0.743946,0.602072,0.548915,0.596143,0.416048,0.457122,0.499075,0.520640,0.475245,0.402047,0.412503,0.260359
A17,0.683507,0.634441,0.622880,0.690274,0.539617,0.716167,0.947337,0.676597,0.646716,0.725797,0.654911,0.588959,0.740296,0.691267,0.577762,0.576328,0.428281,0.810967,0.592779,0.431788,0.700998,0.693402,0.712618,0.681259,0.816692,0.498862,0.538248,0.524176,0.618726,0.684595,0.608294,0.000000,0.131521,0.141880,0.131971,0.354601,0.232242,0.608951,0.722259,0.669244,0.841714,0.873102,0.707311,0.689770,0.644653,0.366997,0.713631,0.705358,0.614043,0.531756,0.673726,0.733610,0.657506,0.734288,0.653898,0.677798,0.642671,0.520914
A21,0.713716,0.627228,0.792801,0.600460,0.678592,0.550133,0.692770,0.960910,0.948837,0.830574,0.803901,0.642520,0.611092,0.620038,0.739207,0.683368,0.651226,0.683378,0.750956,0.477694,0.692941,0.596157,0.638336,0.457827,0.606678,0.678951,0.246424,0.600104,0.483140,0.619689,0.336122,0.131521,0.000000,0.216224,0.160538,0.386204,0.024787,0.666357,0.738199,0.785821,0.568620,0.617887,0.427523,0.707646,0.482302,0.390094,0.777667,0.547239,0.929368,0.766293,0.689125,0.822565,0.457364,0.585385,0.708978,0.874582,0.666097,0.774510
A41,0.636953,0.665774,0.486565,0.656276,0.800435,0.695657,0.699709,0.751605,0.553650,0.696547,0.708114,0.558280,0.644102,0.745465,0.613211,0.559374,0.813396,0.580401,0.568131,0.536605,0.512123,0.618170,0.666779,0.615310,0.634208,0.596918,0.478894,0.628955,0.672423,0.636066,0.536070,0.141880,0.216224,0.000000,0.108668,0.401498,0.238354,0.663948,0.738229,0.602974,0.669851,0.641596,0.301847,0.588842,0.599659,0.411567,0.683776,0.649531,0.601982,0.643291,0.550754,0.626482,0.622342,0.577565,0.627565,0.752503,0.773197,0.684056
