,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.000000,0.282628,0.376517,0.102794,0.110927,0.101372,0.401819,0.402932,0.492908,0.059789,0.106513,0.086136,0.422827,0.205111,0.409581,0.462937,0.120413,0.292232,0.198545,0.833806,0.761140,0.981985,0.909629,0.944374,0.992173,0.836077,0.859404,0.904196,0.699395,0.915652,0.845712,0.856138,0.971853,0.818155,0.887461,0.772680,0.945805,0.658100,0.695199,0.521084,0.349950,0.684576,0.990139,0.980971,0.902697,0.978013,0.921369,0.829891,0.792153,0.865676,0.699866,0.590080,0.867444,0.723315,0.685259,0.682105,0.951864,0.868136
A35,0.282628,0.000000,0.123926,0.385898,0.436359,0.314599,0.143177,0.245772,0.097900,0.300102,0.373931,0.229511,0.234355,0.195350,0.127227,0.181391,0.494386,0.421878,0.233507,0.850572,0.932044,0.885073,1.000000,0.738122,0.995057,0.840088,0.989379,0.918362,0.773443,0.869147,0.847523,0.974326,0.886598,0.605122,0.980471,0.959864,0.972466,0.704824,0.792360,0.855988,0.808517,0.703642,0.935041,0.933196,0.933649,0.927060,0.627817,0.862035,0.905736,0.555564,0.888705,0.932239,0.438734,0.822116,0.734203,0.965466,0.912416,0.627693
A58,0.376517,0.123926,0.000000,0.481965,0.461845,0.292523,0.106576,0.179162,0.145629,0.365653,0.243437,0.543222,0.137687,0.076651,0.129561,0.039043,0.396730,0.281980,0.611129,0.860472,0.966983,0.761320,1.000000,0.899280,0.881466,0.994313,0.946983,0.907216,0.862496,0.753221,0.855440,0.764051,0.844807,0.937929,1.000000,0.881715,0.872550,0.610666,0.640941,0.734933,0.548514,0.951729,0.831002,0.978496,0.827487,0.842428,0.994111,0.959283,0.654150,0.758118,0.743542,0.793679,0.639574,0.972184,0.858542,0.694068,0.737237,0.771101
A63,0.102794,0.385898,0.481965,0.000000,0.079930,0.121173,0.403260,0.277175,0.377797,0.066587,0.219373,0.118619,0.270099,0.522691,0.361609,0.246399,0.243480,0.119637,0.163642,0.694877,0.857669,0.954813,0.933619,0.975699,1.000000,0.988968,0.846866,0.965247,1.000000,0.919803,0.971652,0.951596,0.962429,0.885859,0.842146,0.965050,0.935546,0.779641,0.509696,0.643269,0.696196,0.816137,0.760578,0.847985,0.882067,0.729708,0.773933,0.787702,0.861628,0.758684,0.796046,0.856054,0.732799,0.876415,0.949225,0.773900,0.969167,0.741232
A89,0.110927,0.436359,0.461845,0.079930,0.000000,0.070451,0.333956,0.409488,0.260203,0.135423,0.111207,0.143120,0.231918,0.229980,0.496665,0.386954,0.158292,0.118815,0.186796,0.960339,0.986990,0.988965,0.724850,0.955451,1.000000,0.957131,1.000000,0.618552,0.937150,0.869772,0.869369,0.839451,0.939019,0.708892,0.758170,0.656717,0.968984,0.538697,0.822620,0.890554,0.582456,0.943198,0.983432,0.959177,0.741148,0.951513,0.902035,0.864083,0.742944,0.587911,0.677660,0.775391,0.917288,0.805582,0.604716,0.750281,0.735543,0.992504
A94,0.101372,0.314599,0.292523,0.121173,0.070451,0.000000,0.240033,0.553095,0.261278,0.128751,0.126657,0.007316,0.660790,0.255197,0.527745,0.402572,0.192346,0.308401,0.342987,0.621721,0.998861,0.924020,0.982860,1.000000,0.598068,0.886869,0.935586,0.605241,0.975294,0.931349,0.974297,0.822940,0.606954,0.978324,0.588379,0.873582,0.689687,0.661780,0.569753,0.496014,0.887272,0.925303,0.861167,0.957130,0.762958,0.598005,0.887567,0.884216,0.979806,0.712521,0.718524,0.747909,0.852803,0.786373,0.784580,0.854321,0.726732,0.903764
A36,0.401819,0.143177,0.106576,0.403260,0.333956,0.240033,0.000000,0.049383,0.067910,0.265230,0.282436,0.235660,0.073743,0.194121,0.103888,0.158248,0.385992,0.263185,0.353546,0.865408,0.992897,0.970935,0.912371,0.992888,1.000000,0.839994,0.988540,0.919728,0.923571,0.849717,1.000000,0.880783,0.995149,0.714225,0.615817,0.806887,0.940701,0.828414,0.968763,0.938661,0.550211,0.801095,0.942715,0.997547,0.947673,0.993109,0.687263,0.837243,0.879193,0.761433,0.541583,0.899413,0.712865,0.874316,0.875315,0.800275,0.849675,0.861872
A42,0.402932,0.245772,0.179162,0.277175,0.409488,0.553095,0.049383,0.000000,0.152035,0.257147,0.463791,0.186929,0.109338,0.150699,0.116386,0.158480,0.204235,0.333893,0.252400,0.792720,0.988987,0.889841,1.000000,0.979527,0.946975,0.837568,0.992417,0.910736,0.971243,0.865737,0.707409,0.906239,0.969098,0.897951,0.990590,0.765886,0.901116,0.772489,0.692513,0.779815,0.672401,0.982750,0.762695,0.937734,0.851878,0.950656,0.961326,0.888174,0.941791,0.962934,0.768097,0.771571,0.640186,0.711718,0.764674,0.923091,0.844102,0.511838
A47,0.492908,0.097900,0.145629,0.377797,0.260203,0.261278,0.067910,0.152035,0.000000,0.409721,0.399421,0.295000,0.094253,0.114411,0.095842,0.344245,0.228707,0.171118,0.487680,0.995090,0.991974,1.000000,0.928606,0.913805,0.967561,0.863735,0.978678,0.873983,0.902751,0.942764,0.907936,0.960707,0.983817,0.876965,0.858973,0.841168,0.980165,0.819349,0.669855,0.723088,0.863405,0.977567,0.912213,0.982243,0.974564,0.859003,0.763349,0.801500,0.980827,0.835598,0.901379,0.884646,0.804410,0.952568,0.954330,0.591620,0.845080,0.568506
A59,0.059789,0.300102,0.365653,0.066587,0.135423,0.128751,0.265230,0.257147,0.409721,0.000000,0.135304,0.207111,0.522606,0.435232,0.318409,0.401402,0.212959,0.164660,0.292795,0.898274,0.952672,0.620724,0.610081,1.000000,0.696320,0.864777,0.937565,0.752636,0.970766,0.971446,0.998947,0.794169,0.815082,0.828683,0.947732,0.759966,0.992804,0.595146,0.882718,0.771852,0.508920,0.889492,0.989221,0.939608,0.931945,0.986417,0.903066,0.704575,0.832239,0.580595,0.843449,0.744509,0.667800,0.776445,0.892920,0.669765,0.939514,0.696880
A75,0.106513,0.373931,0.243437,0.219373,0.111207,0.126657,0.282436,0.463791,0.399421,0.135304,0.000000,0.100490,0.518467,0.247966,0.391091,0.309098,0.246075,0.198948,0.348651,0.949421,0.972192,0.910237,0.977562,0.878390,0.922680,0.894684,0.911054,0.980871,0.949023,0.896134,0.814650,0.723143,0.986524,0.849551,0.690186,0.903199,0.985668,0.551172,0.935335,0.657128,0.535099,1.000000,1.000000,0.523008,1.000000,0.941469,0.885133,0.959833,0.816125,0.748801,0.733982,0.739398,0.887469,0.694629,0.802661,0.759591,0.935595,0.780307
