,017_F,035_M,015_F,013_M,036_F,031_F,012_F,005_M,020_M,007_F,008_M,028_M,002_M,004_F,021_F
017_F,0,162.74212730574712,296.42705679475347,391.8328725362383,274.83267636873165,124.33824833895642,415.1590056833646,405.2283306976451,340.4732001200682,456.26527371694635,391.3693907295255,310.40940707394805,351.63901945034485,308.93364983439403,178.19090885900997
035_M,162.74212730574712,0,164.58432489152787,308.93364983439403,98.08159868191383,480.7535751297124,419.935709365136,461.8062364238924,342.47627655065395,370.1378121727095,350.00857132361773,171.14321488157222,90.55385138137417,423.46782640479313,297.0269348055829
015_F,296.42705679475347,164.58432489152787,0,167.0449041425688,150.7912464302885,269.40861159213154,345.90461112855957,433.94124026185847,,390.7863866615622,398.61008517096,155.2063143045411,190.68298298484845,462.3126647627123,361.18831653307944
013_M,391.8328725362383,308.93364983439403,167.0449041425688,0,463.2763753959401,99.92497185388645,223.28905033610582,345.83377510011945,,346.6713140714126,257.19447894540815,381.0577384071868,365.65694304908254,438.0011415510238,379.0844233149128
036_F,274.83267636873165,98.08159868191383,150.7912464302885,463.2763753959401,0,138.00362314084367,253.33377192944488,299.0819285747636,296.97137909232936,440.40890090914377,285.56785533389433,171.72361514946044,311.3615262038648,82.63776376451628,346.30189141845585
031_F,124.33824833895642,480.7535751297124,269.40861159213154,99.92497185388645,138.00362314084367,0,142.70599146496969,262.26894593146176,120.41594578792295,429.75458112741507,129.0658746532173,202.05444810743464,381.7970665157081,469.9755312779592,418.63229689072006
012_F,415.1590056833646,419.935709365136,345.90461112855957,223.28905033610582,253.33377192944488,142.70599146496969,0,138.82723075823418,113.95174417269794,341.11874765248535,106.77546534667971,208.19462048765814,381.37645443839347,290.69055712217414,303.2639114698615
005_M,405.2283306976451,461.8062364238924,433.94124026185847,345.83377510011945,299.0819285747636,262.26894593146176,138.82723075823418,0,335.393798392278,171.14321488157222,335.43553777141744,148.48905683584903,253.527118865024,180.6931099959265,247.77812655680484
020_M,340.4732001200682,342.47627655065395,,,296.97137909232936,120.41594578792295,113.95174417269794,335.393798392278,0,95.25754563287887,96.6902270139025,297.6995129320839,359.2714850917061,382.4983660095818,436.08485412818453
007_F,456.26527371694635,370.1378121727095,390.7863866615622,346.6713140714126,440.40890090914377,429.75458112741507,341.11874765248535,171.14321488157222,95.25754563287887,0,91.21403400793103,269.40861159213154,250.7149776140229,383.3340579703296,363.0316790584535
008_M,391.3693907295255,350.00857132361773,398.61008517096,257.19447894540815,285.56785533389433,129.0658746532173,106.77546534667971,335.43553777141744,96.6902270139025,91.21403400793103,0,195.88772294352702,291.18550788114436,343.0014577228499,473.05073723650406
028_M,310.40940707394805,171.14321488157222,155.2063143045411,381.0577384071868,171.72361514946044,202.05444810743464,208.19462048765814,148.48905683584903,297.6995129320839,269.40861159213154,195.88772294352702,0,182.98907071188705,87.69264507357501,341.91958118832565
002_M,351.63901945034485,90.55385138137417,190.68298298484845,365.65694304908254,311.3615262038648,381.7970665157081,381.37645443839347,253.527118865024,359.2714850917061,250.7149776140229,291.18550788114436,182.98907071188705,0,126.40015822774906,337.9304662204934
004_F,308.93364983439403,423.46782640479313,462.3126647627123,438.0011415510238,82.63776376451628,469.9755312779592,290.69055712217414,180.6931099959265,382.4983660095818,383.3340579703296,343.0014577228499,87.69264507357501,126.40015822774906,0,131.60547101089682
021_F,178.19090885900997,297.0269348055829,361.18831653307944,379.0844233149128,346.30189141845585,418.63229689072006,303.2639114698615,247.77812655680484,436.08485412818453,363.0316790584535,473.05073723650406,341.91958118832565,337.9304662204934,131.60547101089682,0
